,"Ebeye Baseline data, 2012-2016",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Diabetes,,,,,No Diabetes,,,,,Diabetes not tested or missing info,,,,,
,Age,0-4,5-14,15-34,35-49,50+,0-4,5-14,15-34,35-49,50+,0-4,5-14,15-34,35-49,50+,Total
Report Year,Active TB Diagnosis Totals,,,,,,,,,,,,,,,,
2012,,,,6,8,14,3,6,6,1,,,,,,,44
2013,,,,2,5,7,4,3,3,3,,,,,,,27
2014,,,,2,,5,6,5,6,1,5,,,,,,30
2015,,,,2,3,5,2,4,11,1,1,,,,,,29
2016,,,,,5,7,15,14,7,3,2,,,,,,53
,"PTB with bacteriological confirmation (smear, culture, and/or Xpert)",,,,,,,,,,,,,,,,
2012,Total,,,4,5,9,,1,3,,,,,,,,22
,Treatment success (cured and/or treatment completed),,,4,5,8,,1,3,,,,,,,,21
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,1,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2013,Total,,,,3,4,,,1,2,,,,,,,10
,Treatment success (cured and/or treatment completed),,,,3,4,,,1,1,,,,,,,9
,"Treatment failure (default, lost, failure)",,,,,,,,,1,,,,,,,1
,Died,,,,,,,,,,,,,,,,0
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2014,Total,,,2,,3,,1,2,1,4,,,,,,13
,Treatment success (cured and/or treatment completed),,,2,,1,,1,2,1,4,,,,,,11
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,1,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,1,,,,,,,,,,,1
2015,Total,,,1,3,4,,,9,1,,,,,,,18
,Treatment success (cured and/or treatment completed),,,1,2,3,,,8,1,,,,,,,15
,"Treatment failure (default, lost, failure)",,,,,1,,,1,,,,,,,,2
,Died,,,,1,,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2016,Total,,,,5,7,1,,4,2,1,,,,,,20
,Treatment success (cured and/or treatment completed),,,,3,6,1,,3,1,1,,,,,,15
,"Treatment failure (default, lost, failure)",,,,1,,,,,,,,,,,,1
,Died,,,,1,,,,,1,,,,,,,2
,"Other (unknown, transferred out)",,,,,1,,,1,,,,,,,,2
,Sputum Smear Positive only,,,,,,,,,,,,,,,,
2012,Total,,,2,4,8,,,2,,,,,,,,16
,Treatment success (cured and/or treatment completed),,,2,4,7,,,2,,,,,,,,15
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,1,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2013,Total,,,,3,4,,,1,2,,,,,,,10
,Treatment success (cured and/or treatment completed),,,,3,4,,,1,1,,,,,,,9
,"Treatment failure (default, lost, failure)",,,,,,,,,1,,,,,,,1
,Died,,,,,,,,,,,,,,,,0
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2014,Total,,,2,,,,1,,1,4,,,,,,8
,Treatment success (cured and/or treatment completed),,,2,,,,1,,1,4,,,,,,8
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,,,,,,,,,,,0
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2015,Total,,,1,3,3,,,7,,,,,,,,14
,Treatment success (cured and/or treatment completed),,,1,2,2,,,6,,,,,,,,11
,"Treatment failure (default, lost, failure)",,,,,1,,,1,,,,,,,,2
,Died,,,,1,,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2016,Total,,,,5,6,,,2,,1,,,,,,14
,Treatment success (cured and/or treatment completed),,,,3,5,,,2,,1,,,,,,11
,"Treatment failure (default, lost, failure)",,,,1,,,,,,,,,,,,1
,Died,,,,1,,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,1,,,,,,,,,,,1
,PTB without bacteriological confirmation (clinical dx),,,,,,,,,,,,,,,,
2012,Total,,,2,2,4,2,4,2,1,,,,,,,17
,Treatment success (cured and/or treatment completed),,,1,1,2,2,4,1,1,,,,,,,12
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,1,1,2,,,1,,,,,,,,5
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2013,Total,,,1,2,2,3,3,2,1,,,,,,,14
,Treatment success (cured and/or treatment completed),,,1,2,1,3,3,2,1,,,,,,,13
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,1,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2014,Total,,,,,,6,3,4,,1,,,,,,14
,Treatment success (cured and/or treatment completed),,,,,,6,3,3,,,,,,,,12
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,,,1,,1,,,,,,2
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2015,Total,,,1,,1,2,3,1,,1,,,,,,9
,Treatment success (cured and/or treatment completed),,,1,,,2,3,1,,1,,,,,,8
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,1,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2016,Total,,,,,,12,14,1,1,1,,,,,,29
,Treatment success (cured and/or treatment completed),,,,,,12,14,1,1,1,,,,,,29
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,,,,,,,,,,,0
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
,Extrapulmonary TB only,,,,,,,,,,,,,,,,
2012,Total,,,,1,1,1,1,1,,,,,,,,5
,Treatment success (cured and/or treatment completed),,,,1,,1,1,1,,,,,,,,4
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,1,,,,,,,,,,,1
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2013,Total,,,1,,1,1,,,,,,,,,,3
,Treatment success (cured and/or treatment completed),,,1,,1,1,,,,,,,,,,3
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,,,,,,,,,,,0
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2014,Total,,,,,2,,1,,,,,,,,,3
,Treatment success (cured and/or treatment completed),,,,,1,,1,,,,,,,,,2
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,,,,,,,,,,,0
,"Other (unknown, transferred out)",,,,,1,,,,,,,,,,,1
2015,Total,,,,,,,1,1,,,,,,,,2
,Treatment success (cured and/or treatment completed),,,,,,,1,1,,,,,,,,2
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,,,,,,,,,,,0
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
2016,Total,,,,,,2,,2,,,,,,,,4
,Treatment success (cured and/or treatment completed),,,,,,2,,2,,,,,,,,4
,"Treatment failure (default, lost, failure)",,,,,,,,,,,,,,,,0
,Died,,,,,,,,,,,,,,,,0
,"Other (unknown, transferred out)",,,,,,,,,,,,,,,,0
